chr	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	match_type	aa_length
chr18	NC_000018.10	PTGR3	284273	CCDS12008.1	Public	-	Identical	-1
chr18	NC_000018.10	TSHZ1	10194	CCDS12009.1	Public	+	Identical	-1
chr18	NC_000018.8	LINC01879	400661	CCDS12010.1	Withdrawn	+	Identical	-1
chr18	NC_000018.10	MBP	4155	CCDS12011.1	Public	-	Identical	-1
chr18	NC_000018.10	GALR1	2587	CCDS12012.1	Public	+	Identical	-1
chr18	NC_000018.10	SALL3	27164	CCDS12013.1	Public	+	Identical	-1
chr18	NC_000018.10	ATP9B	374868	CCDS12014.1	Public	+	Identical	-1
chr18	NC_000018.10	NFATC1	4772	CCDS12015.1	Public	+	Identical	-1
chr18	NC_000018.10	NFATC1	4772	CCDS12016.1	Public	+	Identical	-1
chr18	NC_000018.10	CTDP1	9150	CCDS12017.1	Public	+	Identical	-1
chr18	NC_000018.10	CTDP1	9150	CCDS12018.1	Public	+	Identical	-1
chr18	NC_000018.10	KCNG2	26251	CCDS12019.1	Public	+	Identical	-1
chr18	NC_000018.10	SLC66A2	80148	CCDS12020.1	Public	-	Identical	-1
chr18	NC_000018.10	RBFA	79863	CCDS12021.1	Public	+	Identical	-1
chr18	NC_000018.10	PARD6G	84552	CCDS12022.1	Public	-	Identical	-1
chr19	NC_000019.10	PLPP2	8612	CCDS12023.1	Public	-	Identical	-1
chr19	NC_000019.10	PLPP2	8612	CCDS12024.1	Public	-	Identical	-1
chr19	NC_000019.10	SPMAP2	51298	CCDS12025.1	Public	-	Identical	-1
chr19	NC_000019.10	SPMAP2	51298	CCDS12026.1	Public	-	Identical	-1
chr19	NC_000019.10	CIMAP1D	284451	CCDS12027.1	Public	-	Identical	-1
chr19	NC_000019.10	MADCAM1	8174	CCDS12028.1	Public	+	Identical	-1
chr19	NC_000019.10	MADCAM1	8174	CCDS12029.1	Public	+	Identical	-1
chr19	NC_000019.10	CDC34	997	CCDS12030.1	Public	+	Identical	-1
chr19	NC_000019.10	GZMM	3004	CCDS12031.1	Public	+	Identical	-1
chr19	NC_000019.10	BSG	682	CCDS12033.1	Public	+	Identical	-1
chr19	NC_000019.10	BSG	682	CCDS12034.1	Public	+	Identical	-1
chr19	NC_000019.10	HCN2	610	CCDS12035.1	Public	+	Identical	-1
chr19	NC_000019.10	POLRMT	5442	CCDS12036.1	Public	-	Identical	-1
chr19	NC_000019.10	FGF22	27006	CCDS12037.1	Public	+	Identical	-1
chr19	NC_000019.8	FLJ45684	400666	CCDS12038.1	Withdrawn	-	Identical	-1
chr19	NC_000019.10	RNF126	55658	CCDS12039.1	Public	-	Identical	-1
chr19	NC_000019.10	FSTL3	10272	CCDS12040.1	Public	+	Identical	-1
chr19	NC_000019.10	PRSS57	400668	CCDS12041.1	Public	-	Identical	-1
chr19	NC_000019.10	MISP	126353	CCDS12042.1	Public	+	Identical	-1
chr19	NC_000019.10	PLPPR3	79948	CCDS12043.1	Public	-	Identical	-1
chr19	NC_000019.10	AZU1	566	CCDS12044.1	Public	+	Identical	-1
chr19	NC_000019.10	ELANE	1991	CCDS12045.1	Public	+	Identical	-1
chr19	NC_000019.10	CFD	1675	CCDS12046.1	Public	+	Identical	-1
chr19	NC_000019.10	MED16	10025	CCDS12047.1	Public	-	Identical	-1
chr19	NC_000019.10	R3HDM4	91300	CCDS12048.1	Public	-	Identical	-1
chr19	NC_000019.10	KISS1R	84634	CCDS12049.1	Public	+	Identical	-1
chr19	NC_000019.10	ARID3A	1820	CCDS12050.1	Public	+	Identical	-1
chr19	NC_000019.10	WDR18	57418	CCDS12051.1	Public	+	Identical	-1
chr19	NC_000019.10	TMEM259	91304	CCDS12052.1	Public	-	Identical	-1
chr19	NC_000019.10	CNN2	1265	CCDS12053.1	Public	+	Identical	-1
chr19	NC_000019.10	CNN2	1265	CCDS12054.1	Public	+	Identical	-1
chr19	NC_000019.10	ABCA7	10347	CCDS12055.1	Public	+	Identical	-1
chr19	NC_000019.10	POLR2E	5434	CCDS12056.1	Public	-	Identical	-1
chr19	NC_000019.10	CBARP	255057	CCDS12057.2	Public	-	Identical	-1
chr19	NC_000019.10	ATP5F1D	513	CCDS12058.1	Public	+	Identical	-1
chr19	NC_000019.10	CIRBP	1153	CCDS12059.1	Public	+	Identical	-1
chr19	NC_000019.10	FAM174C	55009	CCDS12060.2	Public	+	Identical	-1
chr19	NC_000019.10	EFNA2	1943	CCDS12061.1	Public	+	Identical	-1
chr19	NC_000019.10	PWWP3A	84939	CCDS12062.2	Public	+	Identical	-1
chr19	NC_000019.10	NDUFS7	374291	CCDS12063.1	Public	+	Identical	-1
chr19	NC_000019.10	GAMT	2593	CCDS12064.1	Public	-	Identical	-1
chr19	NC_000019.10	DAZAP1	26528	CCDS12065.1	Public	+	Identical	-1
chr19	NC_000019.10	DAZAP1	26528	CCDS12066.1	Public	+	Identical	-1
chr19	NC_000019.10	RPS15	6209	CCDS12067.1	Public	+	Identical	-1
chr19	NC_000019.10	APC2	10297	CCDS12068.1	Public	+	Identical	-1
chr19	NC_000019.10	PCSK4	54760	CCDS12069.2	Public	-	Identical	-1
chr19	NC_000019.10	REEP6	92840	CCDS12070.1	Public	+	Identical	-1
chr19	NC_000019.10	ADAMTSL5	339366	CCDS12071.1	Public	-	Identical	-1
chr19	NC_000019.10	MBD3	53615	CCDS12072.1	Public	-	Identical	-1
chr19	NC_000019.10	UQCR11	10975	CCDS12073.1	Public	-	Identical	-1
chr19	NC_000019.10	TCF3	6929	CCDS12074.1	Public	-	Identical	-1
chr19	NC_000019.10	KLF16	83855	CCDS12075.1	Public	-	Identical	-1
chr19	NC_000019.10	ADAT3	113179	CCDS12076.2	Public	+	Identical	-1
chr19	NC_000019.10	CSNK1G2	1455	CCDS12077.1	Public	+	Identical	-1
chr19	NC_000019.10	BTBD2	55643	CCDS12078.1	Public	-	Identical	-1
chr19	NC_000019.10	MKNK2	2872	CCDS12079.1	Public	-	Identical	-1
chr19	NC_000019.10	MKNK2	2872	CCDS12080.1	Public	-	Identical	-1
chr19	NC_000019.10	MOB3A	126308	CCDS12081.1	Public	-	Identical	-1
chr19	NC_000019.8	IZUMO4	113177	CCDS12082.1	Withdrawn	+	Identical	-1
chr19	NC_000019.10	PLEKHJ1	55111	CCDS12083.1	Public	-	Identical	-1
chr19	NC_000019.10	SF3A2	8175	CCDS12084.1	Public	+	Identical	-1
chr19	NC_000019.10	AMH	268	CCDS12085.1	Public	+	Identical	-1
chr19	NC_000019.10	JSRP1	126306	CCDS12086.1	Public	-	Identical	-1
chr19	NC_000019.10	PEAK3	374872	CCDS12087.1	Public	-	Identical	-1
chr19	NC_000019.10	TMPRSS9	360200	CCDS12088.1	Public	+	Identical	-1
chr19	NC_000019.10	TIMM13	26517	CCDS12089.1	Public	-	Identical	-1
chr19	NC_000019.10	LMNB2	84823	CCDS12090.2	Public	-	Identical	-1
chr19	NC_000019.10	GNG7	2788	CCDS12091.1	Public	-	Identical	-1
chr19	NC_000019.10	DIRAS1	148252	CCDS12092.1	Public	-	Identical	-1
chr19	NC_000019.10	SLC39A3	29985	CCDS12093.1	Public	-	Identical	-1
chr19	NC_000019.10	SGTA	6449	CCDS12094.1	Public	-	Identical	-1
chr19	NC_000019.10	THOP1	7064	CCDS12095.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF555	148254	CCDS12096.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF556	80032	CCDS12097.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF57	126295	CCDS12098.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF77	58492	CCDS12099.1	Public	-	Identical	-1
chr19	NC_000019.10	TLE6	79816	CCDS12100.1	Public	+	Identical	-1
chr19	NC_000019.10	TLE5	166	CCDS12101.1	Public	-	Identical	-1
chr19	NC_000019.10	TLE5	166	CCDS12102.1	Public	-	Identical	-1
chr19	NC_000019.10	GNA11	2767	CCDS12103.1	Public	+	Identical	-1
chr19	NC_000019.10	GNA15	2769	CCDS12104.1	Public	+	Identical	-1
chr19	NC_000019.10	S1PR4	8698	CCDS12105.1	Public	+	Identical	-1
chr19	NC_000019.10	CELF5	60680	CCDS12106.1	Public	+	Identical	-1
chr19	NC_000019.10	NFIC	4782	CCDS12107.1	Public	+	Identical	-1
chr19	NC_000019.10	DOHH	83475	CCDS12108.1	Public	-	Identical	-1
chr19	NC_000019.10	FZR1	51343	CCDS12109.1	Public	+	Identical	-1
chr19	NC_000019.10	APBA3	9546	CCDS12110.1	Public	-	Identical	-1
chr19	NC_000019.10	MRPL54	116541	CCDS12111.1	Public	+	Identical	-1
chr19	NC_000019.10	RAX2	84839	CCDS12112.1	Public	-	Identical	-1
chr19	NC_000019.10	MATK	4145	CCDS12113.1	Public	-	Identical	-1
chr19	NC_000019.10	MATK	4145	CCDS12114.1	Public	-	Identical	-1
chr19	NC_000019.10	NMRK2	27231	CCDS12115.1	Public	+	Identical	-1
chr19	NC_000019.10	DAPK3	1613	CCDS12116.1	Public	-	Identical	-1
chr19	NC_000019.10	EEF2	1938	CCDS12117.1	Public	-	Identical	-1
chr19	NC_000019.10	PIAS4	51588	CCDS12118.1	Public	+	Identical	-1
chr19	NC_000019.10	ZBTB7A	51341	CCDS12119.1	Public	-	Identical	-1
chr19	NC_000019.10	MAP2K2	5605	CCDS12120.1	Public	-	Identical	-1
chr19	NC_000019.10	CREB3L3	84699	CCDS12121.1	Public	+	Identical	-1
chr19	NC_000019.10	SIRT6	51548	CCDS12122.1	Public	-	Identical	-1
chr19	NC_000019.10	EBI3	10148	CCDS12123.1	Public	+	Identical	-1
chr19	NC_000019.10	YJU2	55702	CCDS12124.1	Public	+	Identical	-1
chr19	NC_000019.10	SHD	56961	CCDS12125.1	Public	+	Identical	-1
chr19	NC_000019.10	TMIGD2	126259	CCDS12126.1	Public	-	Identical	-1
chr19	NC_000019.10	FSD1	79187	CCDS12127.1	Public	+	Identical	-1
chr19	NC_000019.10	STAP2	55620	CCDS12128.1	Public	-	Identical	-1
chr19	NC_000019.10	UBXN6	80700	CCDS12129.1	Public	-	Identical	-1
chr19	NC_000019.10	LRG1	116844	CCDS12130.1	Public	-	Identical	-1
chr19	NC_000019.10	SEMA6B	10501	CCDS12131.1	Public	-	Identical	-1
chr19	NC_000019.10	TNFAIP8L1	126282	CCDS12132.1	Public	+	Identical	-1
chr19	NC_000019.10	MYDGF	56005	CCDS12133.1	Public	-	Identical	-1
chr19	NC_000019.8	MIR7-3HG	284424	CCDS12134.1	Withdrawn	+	Identical	-1
chr19	NC_000019.10	FEM1A	55527	CCDS12135.1	Public	+	Identical	-1
chr19	NC_000019.10	TICAM1	148022	CCDS12136.1	Public	-	Identical	-1
chr19	NC_000019.10	PLIN3	10226	CCDS12137.1	Public	-	Identical	-1
chr19	NC_000019.10	KDM4B	23030	CCDS12138.1	Public	+	Identical	-1
chr19	NC_000019.10	PTPRS	5802	CCDS12139.1	Public	-	Identical	-1
chr19	NC_000019.10	PTPRS	5802	CCDS12140.1	Public	-	Identical	-1
chr19	NC_000019.8	TINCR	257000	CCDS12141.1	Withdrawn	-	Identical	-1
chr19	NC_000019.10	SAFB	6294	CCDS12142.1	Public	+	Identical	-1
chr19	NC_000019.10	MICOS13	125988	CCDS12143.1	Public	-	Identical	-1
chr19	NC_000019.10	HSD11B1L	374875	CCDS12144.1	Public	+	Identical	-1
chr19	NC_000019.10	HSD11B1L	374875	CCDS12145.1	Public	+	Identical	-1
chr19	NC_000019.10	HSD11B1L	374875	CCDS12146.1	Public	+	Identical	-1
chr19	NC_000019.10	RPL36	25873	CCDS12147.1	Public	+	Identical	-1
chr19	NC_000019.10	LONP1	9361	CCDS12148.1	Public	-	Identical	-1
chr19	NC_000019.10	CATSPERD	257062	CCDS12149.2	Public	+	Identical	-1
chr19	NC_000019.9	PRR22	163154	CCDS12150.1	Withdrawn	-	Identical	-1
chr19	NC_000019.10	NRTN	4902	CCDS12151.1	Public	+	Identical	-1
chr19	NC_000019.10	FUT6	2528	CCDS12152.1	Public	-	Identical	-1
chr19	NC_000019.10	FUT3	2525	CCDS12153.1	Public	-	Identical	-1
chr19	NC_000019.10	FUT5	2527	CCDS12154.1	Public	-	Identical	-1
chr19	NC_000019.10	NDUFA11	126328	CCDS12155.1	Public	-	Identical	-1
chr19	NC_000019.10	CAPS	828	CCDS12156.3	Public	+	Identical	-1
chr19	NC_000019.10	RFX2	5990	CCDS12157.1	Public	-	Identical	-1
chr19	NC_000019.10	RFX2	5990	CCDS12158.1	Public	-	Identical	-1
chr19	NC_000019.10	ACSBG2	81616	CCDS12159.1	Public	+	Identical	-1
chr19	NC_000019.10	MLLT1	4298	CCDS12160.1	Public	-	Identical	-1
chr19	NC_000019.10	ACER1	125981	CCDS12161.1	Public	-	Identical	-1
chr19	NC_000019.10	CLPP	8192	CCDS12162.1	Public	+	Identical	-1
chr19	NC_000019.10	ALKBH7	84266	CCDS12163.1	Public	+	Identical	-1
chr19	NC_000019.10	PSPN	5623	CCDS12164.1	Public	-	Identical	-1
chr19	NC_000019.10	GTF2F1	2962	CCDS12165.1	Public	-	Identical	-1
chr19	NC_000019.10	CRB3	92359	CCDS12166.1	Public	+	Identical	-1
chr19	NC_000019.10	CRB3	92359	CCDS12167.1	Public	+	Identical	-1
chr19	NC_000019.10	TUBB4A	10382	CCDS12168.1	Public	-	Identical	-1
chr19	NC_000019.10	TNFSF9	8744	CCDS12169.1	Public	+	Identical	-1
chr19	NC_000019.10	CD70	970	CCDS12170.1	Public	-	Identical	-1
chr19	NC_000019.10	TNFSF14	8740	CCDS12171.1	Public	-	Identical	-1
chr19	NC_000019.10	TRIP10	9322	CCDS12172.1	Public	+	Identical	-1
chr19	NC_000019.10	SH2D3A	10045	CCDS12173.1	Public	-	Identical	-1
chr19	NC_000019.10	VAV1	7409	CCDS12174.1	Public	+	Identical	-1
chr19	NC_000019.10	ADGRE1	2015	CCDS12175.1	Public	+	Identical	-1
chr19	NC_000019.10	INSR	3643	CCDS12176.1	Public	-	Identical	-1
chr19	NC_000019.10	ARHGEF18	23370	CCDS12177.1	Public	+	Identical	-1
chr19	NC_000019.10	PEX11G	92960	CCDS12178.1	Public	-	Identical	-1
chr19	NC_000019.10	SAXO5	374877	CCDS12179.2	Public	+	Identical	-1
chr19	NC_000019.10	MCOLN1	57192	CCDS12180.1	Public	+	Identical	-1
chr19	NC_000019.10	STXBP2	6813	CCDS12181.1	Public	+	Identical	-1
chr19	NC_000019.10	RETN	56729	CCDS12182.1	Public	+	Identical	-1
chr19	NC_000019.10	MCEMP1	199675	CCDS12183.2	Public	+	Identical	-1
chr19	NC_000019.10	FCER2	2208	CCDS12184.1	Public	-	Identical	-1
chr19	NC_000019.10	CLEC4G	339390	CCDS12185.1	Public	-	Identical	-1
chr19	NC_000019.10	CD209	30835	CCDS12186.1	Public	-	Identical	-1
chr19	NC_000019.10	CLEC4M	10332	CCDS12187.1	Public	+	Identical	-1
chr19	NC_000019.10	EVI5L	115704	CCDS12188.1	Public	+	Identical	-1
chr19	NC_000019.10	LRRC8E	80131	CCDS12189.1	Public	+	Identical	-1
chr19	NC_000019.10	SNAPC2	6618	CCDS12190.1	Public	+	Identical	-1
chr19	NC_000019.10	CTXN1	404217	CCDS12191.1	Public	-	Identical	-1
chr19	NC_000019.10	TIMM44	10469	CCDS12192.1	Public	-	Identical	-1
chr19	NC_000019.10	ELAVL1	1994	CCDS12193.1	Public	-	Identical	-1
chr19	NC_000019.10	CCL25	6370	CCDS12194.1	Public	+	Identical	-1
chr19	NC_000019.8	CCL25	6370	CCDS12195.1	Withdrawn	+	Identical	-1
chr19	NC_000019.10	FBN3	84467	CCDS12196.1	Public	-	Identical	-1
chr19	NC_000019.10	CERS4	79603	CCDS12197.1	Public	+	Identical	-1
chr19	NC_000019.10	CD320	51293	CCDS12198.1	Public	-	Identical	-1
chr19	NC_000019.10	KANK3	256949	CCDS12199.1	Public	-	Identical	-1
chr19	NC_000019.10	ANGPTL4	51129	CCDS12200.1	Public	+	Identical	-1
chr19	NC_000019.10	RAB11B	9230	CCDS12201.1	Public	+	Identical	-1
chr19	NC_000019.10	MARCHF2	51257	CCDS12202.1	Public	+	Identical	-1
chr19	NC_000019.10	HNRNPM	4670	CCDS12203.1	Public	+	Identical	-1
chr19	NC_000019.10	HNRNPM	4670	CCDS12204.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF414	84330	CCDS12205.1	Public	-	Identical	-1
chr19	NC_000019.10	ADAMTS10	81794	CCDS12206.1	Public	-	Identical	-1
chr19	NC_000019.10	ACTL9	284382	CCDS12207.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF558	148156	CCDS12208.1	Public	-	Identical	-1
chr19	NC_000019.10	MBD3L1	85509	CCDS12209.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF317	57693	CCDS12210.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF559	84527	CCDS12211.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF177	7730	CCDS12212.1	Withdrawn	+	Identical	-1
chr19	NC_000019.10	ZNF266	10781	CCDS12213.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF560	147741	CCDS12214.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF426	79088	CCDS12215.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF561	93134	CCDS12216.2	Public	-	Identical	-1
chr19	NC_000019.10	ZNF562	54811	CCDS12217.1	Public	-	Identical	-1
chr19	NC_000019.10	FBXL12	54850	CCDS12218.1	Public	-	Identical	-1
chr19	NC_000019.10	UBL5	59286	CCDS12219.1	Public	+	Identical	-1
chr19	NC_000019.10	PIN1	5300	CCDS12220.1	Public	+	Identical	-1
chr19	NC_000019.10	OLFM2	93145	CCDS12221.1	Public	-	Identical	-1
chr19	NC_000019.10	COL5A3	50509	CCDS12222.1	Public	-	Identical	-1
chr19	NC_000019.10	RDH8	50700	CCDS12223.3	Public	+	Identical	-1
chr19	NC_000019.10	ANGPTL6	83854	CCDS12224.1	Public	-	Identical	-1
chr19	NC_000019.10	PPAN	56342	CCDS12225.1	Public	+	Identical	-1
chr19	NC_000019.10	P2RY11	5032	CCDS12226.1	Public	+	Identical	-1
chr19	NC_000019.10	EIF3G	8666	CCDS12227.1	Public	-	Identical	-1
chr19	NC_000019.10	DNMT1	1786	CCDS12228.1	Public	-	Identical	-1
chr19	NC_000019.10	S1PR2	9294	CCDS12229.1	Public	-	Identical	-1
chr19	NC_000019.10	MRPL4	51073	CCDS12230.1	Public	+	Identical	-1
chr19	NC_000019.10	ICAM1	3383	CCDS12231.1	Public	+	Identical	-1
chr19	NC_000019.10	ICAM4	3386	CCDS12232.1	Public	+	Identical	-1
chr19	NC_000019.10	ICAM5	7087	CCDS12233.1	Public	+	Identical	-1
chr19	NC_000019.8	FDX2	112812	CCDS12234.1	Withdrawn	-	Identical	-1
chr19	NC_000019.10	ICAM3	3385	CCDS12235.1	Public	-	Identical	-1
chr19	NC_000019.10	TYK2	7297	CCDS12236.1	Public	-	Identical	-1
chr19	NC_000019.10	CDC37	11140	CCDS12237.1	Public	-	Identical	-1
chr19	NC_000019.10	PDE4A	5141	CCDS12238.1	Public	+	Identical	-1
chr19	NC_000019.10	KEAP1	9817	CCDS12239.1	Public	-	Identical	-1
chr19	NC_000019.10	S1PR5	53637	CCDS12240.1	Public	-	Identical	-1
chr19	NC_000019.10	ATG4D	84971	CCDS12241.1	Public	+	Identical	-1
chr19	NC_000019.10	KRI1	65095	CCDS12242.2	Public	-	Identical	-1
chr19	NC_000019.8	KRI1	65095	CCDS12243.1	Withdrawn	-	Identical	-1
chr19	NC_000019.10	CDKN2D	1032	CCDS12244.1	Public	-	Identical	-1
chr19	NC_000019.10	SLC44A2	57153	CCDS12245.1	Public	+	Identical	-1
chr19	NC_000019.10	ILF3	3609	CCDS12246.1	Public	+	Identical	-1
chr19	NC_000019.10	ILF3	3609	CCDS12247.1	Public	+	Identical	-1
chr19	NC_000019.10	QTRT1	81890	CCDS12248.1	Public	+	Identical	-1
chr19	NC_000019.10	TMED1	11018	CCDS12249.1	Public	-	Identical	-1
chr19	NC_000019.10	CARM1	10498	CCDS12250.1	Public	+	Identical	-1
chr19	NC_000019.10	YIPF2	78992	CCDS12251.1	Public	-	Identical	-1
chr19	NC_000019.10	TIMM29	90580	CCDS12252.1	Public	+	Identical	-1
chr19	NC_000019.10	SMARCA4	6597	CCDS12253.1	Public	+	Identical	-1
chr19	NC_000019.10	LDLR	3949	CCDS12254.1	Public	+	Identical	-1
chr19	NC_000019.10	KANK2	25959	CCDS12255.1	Public	-	Identical	-1
chr19	NC_000019.10	TSPAN16	26526	CCDS12256.1	Public	+	Identical	-1
chr19	NC_000019.10	RAB3D	9545	CCDS12257.1	Public	-	Identical	-1
chr19	NC_000019.10	PLPPR2	64748	CCDS12258.1	Public	+	Identical	-1
chr19	NC_000019.10	SWSAP1	126074	CCDS12259.2	Public	+	Identical	-1
chr19	NC_000019.10	EPOR	2057	CCDS12260.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF653	115950	CCDS12261.1	Public	-	Identical	-1
chr19	NC_000019.10	ECSIT	51295	CCDS12262.1	Public	-	Identical	-1
chr19	NC_000019.10	CNN1	1264	CCDS12263.1	Public	+	Identical	-1
chr19	NC_000019.10	ELOF1	84337	CCDS12264.1	Public	-	Identical	-1
chr19	NC_000019.10	ACP5	54	CCDS12265.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF441	126068	CCDS12266.2	Public	+	Identical	-1
chr19	NC_000019.10	ZNF491	126069	CCDS12267.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF439	90594	CCDS12268.1	Public	+	Identical	-1
chr19	NC_000019.10	ZNF625	90589	CCDS12269.2	Public	-	Identical	-1
chr19	NC_000019.10	ZNF563	147837	CCDS12270.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF442	79973	CCDS12271.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF490	57474	CCDS12272.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF791	163049	CCDS12273.1	Public	+	Identical	-1
chr19	NC_000019.10	WDR83OS	51398	CCDS12274.1	Public	-	Identical	-1
chr19	NC_000019.10	WDR83	84292	CCDS12275.1	Public	+	Identical	-1
chr19	NC_000019.10	DHPS	1725	CCDS12276.1	Public	-	Identical	-1
chr19	NC_000019.10	DHPS	1725	CCDS12277.1	Public	-	Identical	-1
chr19	NC_000019.10	FBXW9	84261	CCDS12278.2	Public	-	Identical	-1
chr19	NC_000019.10	TRIR	79002	CCDS12279.1	Public	-	Identical	-1
chr19	NC_000019.10	JUNB	3726	CCDS12280.1	Public	+	Identical	-1
chr19	NC_000019.10	PRDX2	7001	CCDS12281.1	Public	-	Identical	-1
chr19	NC_000019.10	RNASEH2A	10535	CCDS12282.1	Public	+	Identical	-1
chr19	NC_000019.10	RTBDN	83546	CCDS12283.1	Public	-	Identical	-1
chr19	NC_000019.10	DNASE2	1777	CCDS12284.1	Public	-	Identical	-1
chr19	NC_000019.10	KLF1	10661	CCDS12285.1	Public	-	Identical	-1
chr19	NC_000019.10	GCDH	2639	CCDS12286.1	Public	+	Identical	-1
chr19	NC_000019.10	FARSA	2193	CCDS12287.1	Public	-	Identical	-1
chr19	NC_000019.10	CALR	811	CCDS12288.1	Public	+	Identical	-1
chr19	NC_000019.10	RAD23A	5886	CCDS12289.1	Public	+	Identical	-1
chr19	NC_000019.10	GADD45GIP1	90480	CCDS12290.1	Public	-	Identical	-1
chr19	NC_000019.10	DAND5	199699	CCDS12291.1	Public	+	Identical	-1
chr19	NC_000019.10	LYL1	4066	CCDS12292.1	Public	-	Identical	-1
chr19	NC_000019.10	TRMT1	55621	CCDS12293.1	Public	-	Identical	-1
chr19	NC_000019.10	NACC1	112939	CCDS12294.1	Public	+	Identical	-1
chr19	NC_000019.10	IER2	9592	CCDS12295.1	Public	+	Identical	-1
chr19	NC_000019.10	YJU2B	81576	CCDS12296.1	Public	+	Identical	-1
chr19	NC_000019.10	MRI1	84245	CCDS12297.1	Public	+	Identical	-1
chr19	NC_000019.10	C19orf53	28974	CCDS12298.1	Public	+	Identical	-1
chr19	NC_000019.10	BRME1	79173	CCDS12299.1	Public	-	Identical	-1
chr19	NC_000019.10	PODNL1	79883	CCDS12300.2	Public	-	Identical	-1
chr19	NC_000019.10	RFX1	5989	CCDS12301.1	Public	-	Identical	-1
chr19	NC_000019.10	RLN3	117579	CCDS12302.1	Public	+	Identical	-1
chr19	NC_000019.10	IL27RA	9466	CCDS12303.1	Public	+	Identical	-1
chr19	NC_000019.10	PRKACA	5566	CCDS12304.1	Public	-	Identical	-1
chr19	NC_000019.10	PRKACA	5566	CCDS12305.1	Public	-	Identical	-1
chr19	NC_000019.10	ASF1B	55723	CCDS12306.1	Public	-	Identical	-1
chr19	NC_000019.10	ADGRL1	22859	CCDS12307.1	Public	-	Identical	-1
chr19	NC_000019.10	DDX39A	10212	CCDS12308.1	Public	-	Identical	-1
chr19	NC_000019.10	PTGER1	5731	CCDS12309.1	Public	-	Identical	-1
chr19	NC_000019.10	GIPC1	10755	CCDS12310.1	Public	-	Identical	-1
chr19	NC_000019.10	GIPC1	10755	CCDS12311.1	Public	-	Identical	-1
chr19	NC_000019.10	DNAJB1	3337	CCDS12312.1	Public	-	Identical	-1
chr19	NC_000019.10	TECR	9524	CCDS12313.1	Public	+	Identical	-1
chr19	NC_000019.10	NDUFB7	4713	CCDS12314.1	Public	-	Identical	-1
chr19	NC_000019.10	ADGRE3	84658	CCDS12315.1	Public	-	Identical	-1
chr19	NC_000019.10	ZNF333	84449	CCDS12316.1	Public	+	Identical	-1
chr19	NC_000019.10	OR7C1	26664	CCDS12317.1	Public	-	Identical	-1
chr19	NC_000019.10	OR7A5	26659	CCDS12318.1	Public	-	Identical	-1
chr19	NC_000019.10	OR7A17	26333	CCDS12319.1	Public	-	Identical	-1
chr19	NC_000019.10	OR7C2	26658	CCDS12320.1	Public	+	Identical	-1
chr19	NC_000019.10	SLC1A6	6511	CCDS12321.1	Public	-	Identical	-1
chr19	NC_000019.10	TEKTL1	126402	CCDS12322.1	Public	+	Identical	-1
chr19	NC_000019.10	CASP14	23581	CCDS12323.1	Public	+	Identical	-1
chr19	NC_000019.10	SYDE1	85360	CCDS12324.1	Public	+	Identical	-1
chr19	NC_000019.10	HACL2	10994	CCDS12325.1	Public	-	Identical	-1
chr19	NC_000019.10	NOTCH3	4854	CCDS12326.1	Public	-	Identical	-1
chr19	NC_000019.10	EPHX3	79852	CCDS12327.1	Public	-	Identical	-1
chr19	NC_000019.10	BRD4	23476	CCDS12328.1	Public	-	Identical	-1
chr19	NC_000019.10	AKAP8	10270	CCDS12329.1	Public	-	Identical	-1
chr19	NC_000019.10	PGLYRP2	114770	CCDS12330.2	Public	-	Identical	-1
chr19	NC_000019.10	CYP4F22	126410	CCDS12331.1	Public	+	Identical	-1
chr19	NC_000019.10	CYP4F3	4051	CCDS12332.1	Public	+	Identical	-1
chr19	NC_000019.10	OR10H2	26538	CCDS12333.1	Public	+	Identical	-1
chr19	NC_000019.10	OR10H3	26532	CCDS12334.1	Public	+	Identical	-1
chr19	NC_000019.10	OR10H1	26539	CCDS12335.1	Public	-	Identical	-1
chr19	NC_000019.10	CYP4F2	8529	CCDS12336.1	Public	-	Identical	-1
chr19	NC_000019.10	CYP4F11	57834	CCDS12337.1	Public	-	Identical	-1
chr19	NC_000019.10	TPM4	7171	CCDS12338.1	Public	+	Identical	-1
chr19	NC_000019.10	RAB8A	4218	CCDS12339.1	Public	+	Identical	-1
chr19	NC_000019.10	CIB3	117286	CCDS12340.1	Public	-	Identical	-1
